,0,1,2,3,4
0,kb,kb,kb,kb,p1
1,k1,k1,k1,p1,k1
2,k1,k1,p1,k1,k1
3,k1,p1,k1,k1,k1
4,p1,k1,k1,k1,k1
5,k1,p1,k1,k1,k1
6,k1,k1,p1,k1,k1
7,k1,k1,k1,p1,k1
8,kb,kb,kb,kb,p1
9,0.0,0.0,0.0,0.0,0.0
